Unnamed: 0,Order Size,Order Division,Current Position,Shelves,Division Path,Division Path Cost,Shelf Path,Shelf Path Cost,Total Path,Total Path Cost
29,2,10,7,"[45, 48]","[7, 3, 1, 2, 5, 10]",110,"[1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 1]",22,"[7, 3, 1, 2, 5, 10, 1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 1]",132
54,1,11,14,[60],"[14, 7, 3, 1, 2, 5, 11]",120,"[1, 3, 7, 15, 30, 60, 30, 15, 7, 3, 1]",12,"[14, 7, 3, 1, 2, 5, 11, 1, 3, 7, 15, 30, 60, 30, 15, 7, 3, 1]",132
60,2,13,4,"[5, 61]","[4, 2, 1, 3, 6, 13]",120,"[1, 2, 5, 2, 1, 3, 7, 15, 30, 61, 30, 15, 7, 3, 1]",16,"[4, 2, 1, 3, 6, 13, 1, 2, 5, 2, 1, 3, 7, 15, 30, 61, 30, 15, 7, 3, 1]",136
25,3,14,11,"[14, 30, 57]","[11, 5, 2, 1, 3, 7, 14]",120,"[1, 3, 7, 14, 7, 15, 30, 15, 7, 14, 28, 57, 28, 14, 7, 3, 1]",18,"[11, 5, 2, 1, 3, 7, 14, 1, 3, 7, 14, 7, 15, 30, 15, 7, 14, 28, 57, 28, 14, 7, 3, 1]",138
6,2,14,11,"[28, 50]","[11, 5, 2, 1, 3, 7, 14]",120,"[1, 3, 7, 14, 28, 14, 7, 3, 6, 12, 25, 50, 25, 12, 6, 3, 1]",18,"[11, 5, 2, 1, 3, 7, 14, 1, 3, 7, 14, 28, 14, 7, 3, 6, 12, 25, 50, 25, 12, 6, 3, 1]",138
12,3,4,13,"[7, 10, 25]","[13, 6, 3, 1, 2, 4]",120,"[1, 3, 7, 3, 1, 2, 5, 10, 5, 2, 1, 3, 6, 12, 25, 12, 6, 3, 1]",20,"[13, 6, 3, 1, 2, 4, 1, 3, 7, 3, 1, 2, 5, 10, 5, 2, 1, 3, 6, 12, 25, 12, 6, 3, 1]",140
44,3,14,11,"[6, 24, 44]","[11, 5, 2, 1, 3, 7, 14]",120,"[1, 3, 6, 12, 24, 12, 6, 3, 1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",20,"[11, 5, 2, 1, 3, 7, 14, 1, 3, 6, 12, 24, 12, 6, 3, 1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1]",140
98,1,10,14,[24],"[14, 7, 3, 1, 2, 5, 10]",130,"[1, 3, 6, 12, 24, 12, 6, 3, 1]",10,"[14, 7, 3, 1, 2, 5, 10, 1, 3, 6, 12, 24, 12, 6, 3, 1]",140
70,1,10,15,[45],"[15, 7, 3, 1, 2, 5, 10]",130,"[1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1]",12,"[15, 7, 3, 1, 2, 5, 10, 1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1]",142
61,1,5,13,[40],"[13, 6, 3, 1, 2, 5]",130,"[1, 2, 5, 10, 20, 40, 20, 10, 5, 2, 1]",12,"[13, 6, 3, 1, 2, 5, 1, 2, 5, 10, 20, 40, 20, 10, 5, 2, 1]",142
16,2,10,6,"[3, 3]","[6, 3, 1, 2, 5, 10]",140,"[1, 3, 1]",4,"[6, 3, 1, 2, 5, 10, 1, 3, 1]",144
30,2,15,10,"[8, 48]","[10, 5, 2, 1, 3, 7, 15]",130,"[1, 2, 4, 8, 4, 2, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 1]",18,"[10, 5, 2, 1, 3, 7, 15, 1, 2, 4, 8, 4, 2, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 1]",148
99,1,6,10,[10],"[10, 5, 2, 1, 3, 6]",140,"[1, 2, 5, 10, 5, 2, 1]",8,"[10, 5, 2, 1, 3, 6, 1, 2, 5, 10, 5, 2, 1]",148
49,2,12,4,"[55, 57]","[4, 2, 1, 3, 6, 12]",130,"[1, 3, 6, 13, 27, 55, 27, 13, 6, 3, 7, 14, 28, 57, 28, 14, 7, 3, 1]",20,"[4, 2, 1, 3, 6, 12, 1, 3, 6, 13, 27, 55, 27, 13, 6, 3, 7, 14, 28, 57, 28, 14, 7, 3, 1]",150
42,1,6,10,[46],"[10, 5, 2, 1, 3, 6]",140,"[1, 2, 5, 11, 23, 46, 23, 11, 5, 2, 1]",12,"[10, 5, 2, 1, 3, 6, 1, 2, 5, 11, 23, 46, 23, 11, 5, 2, 1]",152
21,2,12,5,"[1, 45]","[5, 2, 1, 3, 6, 12]",140,"[1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1]",12,"[5, 2, 1, 3, 6, 12, 1, 2, 5, 11, 22, 45, 22, 11, 5, 2, 1]",152
11,2,13,9,"[4, 36]","[9, 4, 2, 1, 3, 6, 13]",140,"[1, 2, 4, 9, 18, 36, 18, 9, 4, 2, 1]",12,"[9, 4, 2, 1, 3, 6, 13, 1, 2, 4, 9, 18, 36, 18, 9, 4, 2, 1]",152
43,3,11,6,"[17, 25, 30]","[6, 3, 1, 2, 5, 11]",130,"[1, 2, 4, 8, 17, 8, 4, 2, 1, 3, 6, 12, 25, 12, 6, 3, 7, 15, 30, 15, 7, 3, 1]",24,"[6, 3, 1, 2, 5, 11, 1, 2, 4, 8, 17, 8, 4, 2, 1, 3, 6, 12, 25, 12, 6, 3, 7, 15, 30, 15, 7, 3, 1]",154
22,1,9,12,[7],"[12, 6, 3, 1, 2, 4, 9]",150,"[1, 3, 7, 3, 1]",6,"[12, 6, 3, 1, 2, 4, 9, 1, 3, 7, 3, 1]",156
95,1,13,11,[15],"[11, 5, 2, 1, 3, 6, 13]",150,"[1, 3, 7, 15, 7, 3, 1]",8,"[11, 5, 2, 1, 3, 6, 13, 1, 3, 7, 15, 7, 3, 1]",158
